,_country,dataorder,number_1,number_10,number_2,number_3,number_4,number_5,number_6,number_7,number_8,number_9,pairwise_1_10,pairwise_1_2,pairwise_1_3,pairwise_1_4,pairwise_1_5,pairwise_1_6,pairwise_1_7,pairwise_1_8,pairwise_1_9,pairwise_2_10,pairwise_2_3,pairwise_2_4,pairwise_2_5,pairwise_2_6,pairwise_2_7,pairwise_2_8,pairwise_2_9,pairwise_3_10,pairwise_3_4,pairwise_3_5,pairwise_3_6,pairwise_3_7,pairwise_3_8,pairwise_3_9,pairwise_4_10,pairwise_4_5,pairwise_4_6,pairwise_4_7,pairwise_4_8,pairwise_4_9,pairwise_5_10,pairwise_5_6,pairwise_5_7,pairwise_5_8,pairwise_5_9,pairwise_6_10,pairwise_6_7,pairwise_6_8,pairwise_6_9,pairwise_7_10,pairwise_7_8,pairwise_7_9,pairwise_8_10,pairwise_8_9,pairwise_9_10,rank_number,rank_pairwise,rank_stars,rating_1,rating_10,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,total_time_10_number,total_time_10_star,total_time_1_10_p,total_time_1_2_p,total_time_1_3_p,total_time_1_4_p,total_time_1_5_p,total_time_1_6_p,total_time_1_7_p,total_time_1_8_p,total_time_1_9_p,total_time_1_number,total_time_1_star,total_time_2_10_p,total_time_2_3_p,total_time_2_4_p,total_time_2_5_p,total_time_2_6_p,total_time_2_7_p,total_time_2_8_p,total_time_2_9_p,total_time_2_number,total_time_2_star,total_time_3_10_p,total_time_3_4_p,total_time_3_5_p,total_time_3_6_p,total_time_3_7_p,total_time_3_8_p,total_time_3_9_p,total_time_3_number,total_time_3_star,total_time_4_10_p,total_time_4_5_p,total_time_4_6_p,total_time_4_7_p,total_time_4_8_p,total_time_4_9_p,total_time_4_number,total_time_4_star,total_time_5_10_p,total_time_5_6_p,total_time_5_7_p,total_time_5_8_p,total_time_5_9_p,total_time_5_number,total_time_5_star,total_time_6_10_p,total_time_6_7_p,total_time_6_8_p,total_time_6_9_p,total_time_6_number,total_time_6_star,total_time_7_10_p,total_time_7_8_p,total_time_7_9_p,total_time_7_number,total_time_7_star,total_time_8_10_p,total_time_8_9_p,total_time_8_number,total_time_8_star,total_time_9_10_p,total_time_9_number,total_time_9_star,total_time_aggr,total_time_final,image_1,image_10,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,winner,time_number,time_pairwise,time_stars,time_diff
0,GRC,mps,10.0,5.0,15.0,13.0,22.0,19.0,11.0,12.0,7.0,4.0,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,4,5,5,4,2,5,3,5,4,4,4,3,1,2144,1760,1280,1800,2031,1792,2695,1504,1944,1639,2399,14705,4560,1696,2231,2038,2663,1631,2448,1455,1552,4177,2024,1776,1935,1975,1632,2631,2543,2039,3142,1792,1440,1344,1600,1567,1296,1583,3089,2144,1384,1583,1871,1408,1160,5167,1880,6200,2207,2527,2185,8904,2784,1583,2032,1391,2416,2040,2032,1752,2304,2392,3063,2584,1912,248405,33081,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,,48632,88537,23288,0 days 00:04:13.000000000
1,LVA,mps,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,1,2,1,2,2,2,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,4,4,3,4,3,5,3,5,3,2,2,4,1534,1268,1263,1794,1602,4516,2059,1578,1621,1340,4934,8943,2554,1353,1825,2029,2497,2447,1313,1466,1389,7740,1193,1369,1512,2065,1250,1886,2020,2264,3166,1131,1479,1513,1695,2031,1431,1358,1282,2891,1876,1657,1841,1616,1279,1251,1030,5590,1911,1587,1980,1136,1034,1844,1534,1675,1394,1272,2769,1220,2134,943,1952,1527,984,142947,9340,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,,30107,87230,14300,0 days 00:02:25.000000000
2,DEU,mps,2.0,6.0,10.0,3.0,7.0,6.0,5.0,5.0,9.0,7.0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,5,5,5,1,3,5,2,4,4,3,3,5,4,3156,2881,1547,1760,6574,1595,1666,1861,2269,1548,3824,19297,3853,1325,1778,1741,1861,1639,1611,1388,1426,11274,2064,1769,1557,1713,1973,2676,2177,1973,3093,2333,1601,2222,1834,1629,1304,1750,3490,2760,1871,1315,4594,1491,1426,2898,1593,4324,1964,1657,2156,5583,1666,2528,2389,1584,2695,1807,1677,1297,2797,2704,4639,2685,1694,256480,48365,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,,56968,94503,23355,0 days 00:04:18.000000000
3,BGR,mps,50.0,100.0,2000.0,100.0,200.0,500.0,500.0,1000.0,500.0,500.0,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,4,5,4,2,3,5,1,3,5,3,5,4,3,3723,2205,2128,1684,3617,1753,1591,1637,1686,1748,3419,22488,5679,1369,1505,1665,2078,1536,3552,1400,1729,6759,2176,2329,1917,1974,2021,1753,2215,1839,4774,1976,1877,1553,1889,2546,3386,2436,4100,2007,1774,1629,1697,2111,1457,4216,2529,7615,1557,1751,1966,5990,2119,1703,1546,1446,4552,1744,1621,1798,4177,1753,1761,9177,1672,247264,45261,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,rank_pairwise,69956,93264,23860,0 days 00:04:11.000000000
4,UKR,mps,5.0,3.0,10.0,10.0,3.0,5.0,4.0,7.0,5.0,10.0,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,4,2,5,2,2,5,3,2,4,2,5,4,5,5883,1916,2144,1635,2975,2168,2247,2726,2151,1550,2479,22207,8088,1743,1638,2361,3887,1984,2096,3831,2784,13917,2889,2438,2968,2882,2519,1877,2835,2867,20620,2791,2047,3228,2345,3768,3205,1951,4568,3793,3419,1515,2107,1721,1655,3789,2804,5944,1968,1974,4034,4927,3589,1973,2087,3463,3621,2273,2689,1512,5831,2707,2103,5256,2121,310900,51615,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,rank_stars,90619,113493,32971,0 days 00:05:15.000000000
5,VNM,mps,210.0,5.0,12.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,5,5,5,4,4,1,3,1,5,3,1,2,1,2127,3058,4613,2179,2806,2263,2079,2560,2426,1997,3798,19926,6360,2576,3154,2354,6919,2797,3617,2359,3101,5066,3013,3379,3734,2314,2440,2252,5235,3033,7099,2714,2642,2330,2819,2426,2682,2254,2606,2950,4713,2260,2054,2033,2121,2339,2496,9622,2433,3981,3123,2688,2844,2588,2170,2612,6213,2296,2681,4019,2237,2522,2843,2071,2459,252161,19178,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,,52372,138391,30712,0 days 00:04:15.000000000
6,MEX,mps,100.0,1000.0,100.0,1000.0,1000.0,1000.0,1000.0,1000.0,300.0,1000.0,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,2,5,5,5,5,5,5,5,5,5,4,5,5,4,3158,2512,1580,2194,1371,1740,2000,1548,1574,1732,1839,8739,3098,2718,2068,1622,3034,2098,1805,1841,1536,3511,3342,2221,1963,2211,1514,1720,1670,2448,3450,2193,1979,4278,2523,1707,1904,1863,3926,2232,2891,1912,1645,2222,2282,3837,1865,5106,2107,1916,1716,3021,3950,2318,1682,4439,6547,1817,1931,1793,3608,1675,1572,17637,2460,233750,48461,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,,57434,95833,25144,0 days 00:03:57.000000000
7,BGD,mps,123.0,111.0,123.0,123.0,123.0,111.0,112.0,111.0,111.0,112.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,3,4,2,5,2,4,3,2,1,2,1,1,1,3304,2696,1503,1737,2295,1657,1871,1535,2488,1648,2511,30434,5465,1871,2744,2415,3192,2279,2448,1776,1960,4621,2438,2015,2199,2136,3303,2215,2136,2624,15015,5464,2319,1911,2305,4632,2071,2031,7240,2249,2848,3447,3256,2544,1928,10522,2350,10088,1960,1745,2344,10532,3256,4642,2872,3168,9583,2232,2671,2735,4121,1839,3136,4550,1983,370050,99597,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,rank_pairwise,99922,117211,29972,0 days 00:06:14.000000000
8,USA,mps,1.0,4.0,2.0,4.0,5.0,7.0,7.0,8.0,10.0,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,4,5,4,1,2,1,3,4,4,3,4,5,3,11757,2757,2491,2968,2742,2655,2991,2583,2405,2070,3211,25228,5413,3062,3312,2939,3263,3086,2443,2172,3546,7266,2868,5061,3429,2507,3609,4270,2704,2695,5432,3445,2593,7115,3130,3236,2226,2906,4000,3599,2532,2218,3209,2625,1946,3820,2508,8429,3016,2648,5750,11915,3686,3062,2928,2187,3920,2368,2440,1946,5764,2864,2890,3664,2327,397263,60261,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,rank_pairwise,82766,141246,31835,0 days 00:06:43.000000000
9,NPL,mps,50.0,250.0,100.0,70.0,55.0,90.0,20.0,2000.0,2100.0,500.0,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,1,4,5,3,3,4,3,3,4,4,2,4,5,4,13904,1840,1904,2172,3132,2471,2558,2662,2231,2070,2512,43474,5290,2101,2447,3625,9239,2253,1851,2053,2089,6913,3532,2302,2935,2906,3634,2733,3877,2190,11168,2690,2612,2430,2066,2575,3660,1994,6765,1856,2111,2146,2414,3803,2266,6682,1988,5745,2174,2129,2601,5586,2256,2689,2236,3830,5513,2156,2584,2130,5718,1895,2146,9343,1893,394690,101323,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,rank_pairwise,115066,124288,25396,0 days 00:06:45.000000000
10,DEU,mps,6.0,4.0,7.0,4.0,5.0,5.0,4.0,8.0,6.0,7.0,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,1,5,4,4,3,2,4,3,4,4,3,5,4,4,4758,2911,2437,2320,5035,2620,2916,3493,2725,2530,3846,38120,6024,2323,2773,3703,5949,3815,3059,3514,2191,6310,3041,3031,4303,3502,2505,2770,2991,2984,8639,3213,3625,2550,3101,2973,2398,2558,7904,3960,2654,2549,2624,4236,2294,7919,2663,11921,3487,2800,3455,9806,2670,3079,3549,3022,4952,2706,2569,3421,5265,2647,2927,4058,2663,438996,71753,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,rank_number,97731,149127,32498,0 days 00:07:23.000000000
11,RUS,mps,3.0,4.0,5.0,3.1,3.0,4.0,4.0,4.5,5.0,10.0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,5,4,1,3,3,3,3,4,3,4,4,5,4352,4817,2477,1944,2096,1884,2089,2146,2243,2098,2454,7878,5969,1728,1971,2316,5629,1821,3553,2141,1673,11873,3639,2366,4131,2847,3908,3520,2971,1895,11509,3304,2281,1884,2577,2548,1618,2914,3855,2439,2445,2574,3668,1807,2908,7140,2720,7848,3560,2122,2065,3333,2569,2529,3757,2806,10586,2898,1782,3105,5807,4667,2631,3956,4087,344741,49126,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,rank_pairwise,70289,121330,37109,0 days 00:05:48.000000000
12,BRA,mps,5.0,0.75,100.0,10.0,5.0,100.0,25.0,2.5,100.0,60.0,1,2,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,4,5,3,3,2,4,2,3,5,4,5,5,5,13839,2272,1744,1730,2471,2423,1920,2147,1757,2317,4331,39279,19732,1546,1426,2447,3354,4165,3314,2289,1977,8320,2062,3780,2570,2230,1900,3026,2902,2019,11134,2237,4186,1714,2053,3343,1898,2117,5159,2546,1679,1916,1925,2311,1613,11257,3325,23401,1903,2048,3423,5099,2527,1778,2415,1517,7947,1831,2643,2071,7919,1663,2071,4263,2849,399423,71051,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,rank_pairwise,114216,127810,41044,0 days 00:06:45.000000000
13,VNM,mps,1.0,7.0,5.0,2.0,8.0,9.0,6.0,4.0,6.0,7.0,2,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,5,3,3,3,5,3,2,5,4,3,3,4,3,2693,1352,2032,1168,1927,2122,16142,1135,1360,1158,2179,91792,3550,2696,1904,1680,1928,1504,6625,824,1600,7306,1447,4647,1854,2111,7791,5078,2142,2288,3805,1657,1447,1572,808,2137,824,1640,40249,1499,1779,824,1384,1016,3439,4999,1531,4383,1825,2072,2040,2841,1493,2047,1025,2801,2420,1492,1169,2495,4380,1793,1936,1138,1535,441639,22899,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,rank_number,161623,112558,17349,0 days 00:07:25.000000000
14,GRC,mps,5.0,2.0,2.0,6.0,10.0,4.0,4.0,3.0,2.0,5.0,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,4,3,4,2,1,3,2,4,3,3,2,2,2,5530,2638,1767,2439,6963,2265,13448,2556,2887,1878,7752,27719,15051,1763,4311,3747,10179,1704,1577,3372,2788,5202,4751,3255,13172,6344,2236,6371,2368,2848,9694,7149,1877,1553,1899,2808,2856,2089,6663,6800,2072,2599,2739,7273,3135,5021,3965,12853,2101,2427,2022,4669,4315,2113,8960,2005,9086,4032,2192,3568,4438,2561,4262,4382,2296,411057,84471,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,,82404,181393,53558,0 days 00:06:58.000000000
15,VNM,mps,4.0,2.0,6.0,5.0,7.0,5.0,6.0,5.0,7.0,3.0,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,3,3,4,3,2,2,3,4,5,3,4,5,2,2225,1719,1464,2159,2632,3494,1881,2000,1696,1656,3498,58531,4777,1401,3503,3559,2888,2810,1520,1456,2192,20630,2976,2391,1920,1615,3456,2277,2607,1874,1719,1592,3688,1471,1624,2473,2944,1729,2887,1835,1768,1797,1977,1906,1376,4057,1533,10127,2791,1965,1792,2711,1344,2525,3273,1477,1465,1487,1616,1440,1671,1400,1727,1976,2681,246342,10043,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,rank_stars,97872,107435,21344,0 days 00:04:08.000000000
16,BIH,mps,57.0,300.0,250.0,100.0,520.0,750.0,95.0,600.0,850.0,1200.0,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,2,1,2,2,2,1,2,2,1,2,1,5,3,4,3,2,5,3,4,3,3,4,5,5,18211,2537,2187,2194,5905,2438,1933,2813,2685,3099,2935,29503,7248,2727,2056,4301,4311,4791,2270,2039,2234,8224,2621,2707,2625,2722,3842,3061,2989,2316,6452,2913,2020,2123,2781,7776,10290,2504,7083,2310,4087,3837,13954,2074,2484,8010,2119,8458,4097,2461,2317,10251,2093,2132,2488,7807,8361,2667,2017,2517,3830,3320,6017,9353,2087,430287,40175,https://dl.dropboxusercontent.com/u/13815598/paintings/1-kiss.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/10-guitarist.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/2-starry.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/3-mariee.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/4-jatte.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/5-eve.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/6-garden.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/7-bears.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/8-girl.jpg,https://dl.dropboxusercontent.com/u/13815598/paintings/9-wave.jpg,rank_number,109278,165421,29915,0 days 00:07:14.000000000
